URL,Name,Price,Rating,No_of_reviews,Asin
amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1679353168&sprefix=ba%2Caps%2C283&sr=8-5,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,949,3.9,"6,297",B097RJ22Q3
,,,,,
amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679353168&sprefix=ba%2Caps%2C283&sr=8-6,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.8,565,B09TPX22NF
,,,,,
amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679353168&sprefix=ba%2Caps%2C283&sr=8-7,Skybags Brat Black 46 Cms Casual Backpack,659,4.1,"3,770",B08Z1HHHTD
,,,,,
amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679353168&sprefix=ba%2Caps%2C283&sr=8-8,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),389,4,"18,009",B07Q7CNPMV
,,,,,
amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679353168&sprefix=ba%2Caps%2C283&sr=8-9,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,699",4.1,8,B0BTD4FK9G
,,,,,
amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679353168&sprefix=ba%2Caps%2C283&sr=8-10,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1,"8,155",B088XB5XY8
,,,,,
